banos,ciudad,comunidad,habitaciones,link,particular,precio,referencia,superficie,web
2, Madrid Capital,Madrid,9,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/fuente-del-berro/150661401/d?RowGrid=1&tti=1&opi=300,Profesional,883.630,150661401,204,Fotocasa
2, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/150266228/d?RowGrid=2&tti=1&opi=300,Profesional,499.000,150266228,95,Fotocasa
2, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150586914/d?RowGrid=3&tti=1&opi=300,Profesional,645.000,150586914,167,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero/147746001/d?RowGrid=1&tti=1&opi=300,Profesional,350.000,147746001,87,Fotocasa
2,Navalcarnero,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/navalcarnero/aire-acondicionado-calefaccion-parking-jardin-terraza-patio-se-aceptan-mascotas/148729326/d?RowGrid=4&tti=1&opi=300,Profesional,259.900,148729326,227,Fotocasa
2, Madrid Capital,Madrid,6,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150586915/d?RowGrid=2&tti=1&opi=300,Profesional,540.000,150586915,130,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/150663073/d?RowGrid=3&tti=1&opi=300,Profesional,169.000,150663073,70,Fotocasa
3,Moralzarzal,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/moralzarzal/parking-jardin/148392632/d?RowGrid=1&tti=1&opi=300,Profesional,395.000,148392632,235,Fotocasa
1,Fuenlabrada,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/calefaccion-ascensor/150301973/d?RowGrid=2&tti=1&opi=300,Profesional,164.900,150301973,98,Fotocasa
3,Galapagar,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/galapagar/calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-ascensor-parking-piscina/149851795/d?RowGrid=3&tti=1&opi=300,Profesional,245.000,149851795,150,Fotocasa
2, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150756808/d?RowGrid=2&tti=1&opi=300,Profesional,280.000,150756808,88,Fotocasa
1, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150752893/d?RowGrid=3&tti=1&opi=300,Profesional,298.000,150752893,42,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking/150764551/d?RowGrid=1&tti=1&opi=300,Profesional,159.900,150764551,66,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/150754055/d?RowGrid=2&tti=1&opi=300,Profesional,132.000,150754055,71,Fotocasa
2,Leganés,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/leganes/aire-acondicionado-calefaccion-terraza-ascensor-se-aceptan-mascotas/150376847/d?RowGrid=3&tti=1&opi=300,Profesional,170.000,150376847,100,Fotocasa
4, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-jardin-piscina/150407649/d?RowGrid=1&tti=1&opi=300,Profesional,699.000,150407649,300,Fotocasa
4, Madrid Capital,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor/147542641/d?RowGrid=2&tti=1&opi=300,Profesional,1.610,147542641,240,Fotocasa
2, Madrid Capital,Madrid,6,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor/147542639/d?RowGrid=1&tti=1&opi=300,Profesional,2.700,147542639,312,Fotocasa
1, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/149608310/d?RowGrid=1&tti=1&opi=300,Profesional,103.000,149608310,55,Fotocasa
1, Madrid Capital,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero/149698339/d?RowGrid=1&tti=1&opi=300,Profesional,320.000,149698339,126,Fotocasa
3,Leganés,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/leganes/calefaccion-parking-jardin-terraza-patio/150266547/d?RowGrid=2&tti=1&opi=300,Profesional,357.000,150266547,230,Fotocasa
1, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/amueblado/150491005/d?RowGrid=2&tti=1&opi=300,Profesional,155.000,150491005,35,Fotocasa
2, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/150451779/d?RowGrid=1&tti=1&opi=300,Profesional,475.000,150451779,130,Fotocasa
1, Madrid Capital,Madrid,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/150646710/d?RowGrid=3&tti=1&opi=300,Profesional,399.000,150646710,127,Fotocasa
1,Móstoles,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/mostoles/calefaccion-ascensor/150311264/d?RowGrid=2&tti=1&opi=300,Profesional,120.000,150311264,67,Fotocasa
4,Villaviciosa de Odón,Madrid,4,https://www.fotocasa.es/es/comprar/vivienda/villaviciosa-de-odon/aire-acondicionado-calefaccion-parking-terraza-trastero-piscina/143198843/d?RowGrid=3&tti=1&opi=300,Profesional,995.000,143198843,580,Fotocasa
4,Villaviciosa de Odón,Madrid,6,https://www.fotocasa.es/es/comprar/vivienda/villaviciosa-de-odon/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-no-amueblado/149912574/d?RowGrid=2&tti=1&opi=300,Profesional,480.000,149912574,315,Fotocasa
1,Colmenar Viejo,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/colmenar-viejo/calefaccion-terraza-amueblado-no-amueblado/150120493/d?RowGrid=1&tti=1&opi=300,Profesional,156.000,150120493,56,Fotocasa
3, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/147367755/d?RowGrid=4&tti=1&opi=300,Profesional,1.300,147367755,253,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/146143438/d?RowGrid=3&tti=1&opi=300,Profesional,675.000,146143438,100,Fotocasa
4,Galapagar,Madrid,7,https://www.fotocasa.es/es/comprar/vivienda/galapagar/calefaccion-parking-jardin-terraza-trastero/150762467/d?RowGrid=3&tti=1&opi=300,Profesional,329.000,150762467,402,Fotocasa
1, Madrid Capital,Madrid,3,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/148249610/d?RowGrid=1&tti=1&opi=300,Profesional,117.500,148249610,65,Fotocasa
2, Madrid Capital,Madrid,5,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-jardin-ascensor/143300473/d?RowGrid=2&tti=1&opi=300,Profesional,840.000,143300473,213,Fotocasa
1, Madrid Capital,Madrid,2,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/palacio/150802248/d?RowGrid=1&tti=1&opi=300,Profesional,372.000,150802248,72,Fotocasa
