banos,ciudad,codigoPostal,comunidad,habitaciones,link,nombre,particular,planta,precio,referencia,superficie,web
4 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-ascensor-parking-piscina-no-amueblado/148451409/d?RowGrid=1&tti=1&opi=300,,Profesional,,899.900,148451409,202,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-television-se-aceptan-mascotas-internet-no-amueblado/150598907/d?RowGrid=3&tti=1&opi=300,,Profesional,2,179.500,150598907,59,Fotocasa
1 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150454059/d?RowGrid=4&tti=1&opi=300,,Profesional,5,769.000,150454059,140,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking/150410246/d?RowGrid=3&tti=1&opi=300,,Profesional,3,595.000,150410246,177,Fotocasa
1 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150455232/d?RowGrid=2&tti=1&opi=300,,Profesional,3,324.900,150455232,93,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor-patio/150372692/d?RowGrid=1&tti=1&opi=300,,Profesional,1,400.000,150372692,90,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-terraza-trastero-zona-comunitaria-ascensor-piscina/145947944/d?RowGrid=2&tti=1&opi=300,,Profesional,7,590.000,145947944,80,Fotocasa
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-terraza-trastero-zona-comunitaria-ascensor-patio-parking-piscina/150376230/d?RowGrid=4&tti=1&opi=300,,Profesional,,245.000,150376230,152,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-zona-comunitaria-ascensor-piscina-se-aceptan-mascotas-piscina-no-amueblado/150425766/d?RowGrid=3&tti=1&opi=300,,Profesional,2,240.000,150425766,100,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/150533656/d?RowGrid=2&tti=1&opi=300,,Profesional,2,124.000,150533656,54,Fotocasa
